Prop (inch),Voltages (V),Throttle (%),Load Currency (A),Pull(g),Power(W),Efficiency(g/W),Temperature(in full throttle load 5's)
GF5136R,21,50%,10.0,839,210.0,3.995,76℃
GF5136R,21,100%,49.6,2184,1041.6,2.097,76℃
GF5136R,24,50%,11.9,1006,285.6,3.522,84℃
GF5136R,24,100%,59.4,2521,1425.6,1.768,84℃
GF51466R,21,50%,10.1,861,212.1,4.059,76℃
GF51466R,21,100%,51.0,2278,1071.0,2.127,76℃
GF51466R,24,50%,12.1,1040,290.4,3.581,84℃
GF51466R,24,100%,60.7,2547,1456.8,1.748,84℃
HQ R36,21,50%,9.4,811,197.4,4.108,69℃
HQ R36,21,100%,44.7,2025,938.7,2.157,69℃
HQ R36,24,50%,11.7,997,280.8,3.551,79℃
HQ R36,24,100%,54.4,2236,1305.6,1.713,79℃
HQ R38,21,50%,9.8,806,205.8,3.916,75℃
HQ R38,21,100%,47.2,1941,991.2,1.958,75℃
HQ R38,24,50%,12.2,981,292.8,3.350,83℃
HQ R38,24,100%,57.7,2279,1384.8,1.646,83℃
DAL T5148.5,21,50%,8.9,759,186.9,4.061,72℃
DAL T5148.5,21,100%,43.9,1967,921.9,2.134,72℃
DAL T5148.5,24,50%,10.4,920,249.6,3.686,80℃
DAL T5148.5,24,100%,54.3,2311,1303.2,1.773,80℃
