Prop (inch),Voltages (V),Throttle (%),Load Currency (A),Pull(g),Power(W),Efficiency(g/W),Temperature(in full throttle load 5's)
HQ EthiX S3,25.2,50%,4.1,552,103.3,5.343,66℃
HQ EthiX S3,25.2,100%,17.1,1485,430.9,3.446,66℃
HQ EthiX S4,25.2,50%,4.6,603,115.9,5.202,68℃
HQ EthiX S4,25.2,100%,18.5,1530,466.2,3.282,68℃
HQ EthiX S5,25.2,50%,5.4,673,136.1,4.946,72℃
HQ EthiX S5,25.2,100%,21.5,1589,541.8,2.933,72℃
DAL Fold F5,25.2,50%,4.0,540,100.8,5.357,67℃
DAL Fold F5,25.2,100%,18.4,1433,463.7,3.090,67℃
DAL5147.5,25.2,50%,4.3,621,108.4,5.731,67℃
DAL5147.5,25.2,100%,18.2,1580,458.6,3.445,67℃
HQ 5.1*3.1*3,25.2,50%,4.4,616,110.9,5.556,69℃
HQ 5.1*3.1*3,25.2,100%,19.3,1621,486.4,3.333,69℃
GF6045*2,25.2,50%,5.4,781,136.1,5.739,76℃
GF6045*2,25.2,100%,23.5,1835,592.2,3.099,76℃
