Prop (inch),Voltages (V),Throttle (%),Load Currency (A),Pull(g),Power(W),Efficiency(g/W),Temperature(in full throttle load 5's)
HQ2*2.5*3,12.6,50%,1.95,70,24.6,2.849,53℃
HQ2*2.5*3,12.6,100%,6.84,224,86.2,2.599,53℃
HQ2*2.5*3,16.8,50%,2.75,108,46.2,2.338,69℃
HQ2*2.5*3,16.8,100%,9.9,346,166.3,2.080,69℃
DAL 2*3.5*3,12.6,50%,2.3,83,29.0,2.857,53℃
DAL 2*3.5*3,12.6,100%,6.85,228,86.3,2.642,53℃
DAL 2*3.5*3,16.8,50%,2.5,113,42.0,2.690,69℃
DAL 2*3.5*3,16.8,100%,9.9,344,166.3,2.068,69℃
GF3*35*3,12.6,50%,2.88,153,36.3,4.216,76℃
GF3*35*3,12.6,100%,11.4,428,143.6,2.980,76℃
GF3*35*3,16.8,50%,3.95,229,66.4,3.451,HOT
GF3*35*3,16.8,100%,16.9,605,283.9,2.131,HOT
